sequencia;setor;maquina;manutencao.tipo;OS;situacao;data.prog.inicio;data.prog.fim;data.real.inicio;obs;data
121;EXTRUSAO;116;TERMOGRAFIA;3844;R;10/out/24;10/10/2024 00:00;07/11/2024 01:00;;45575
122;EXTRUSAO;117;TERMOGRAFIA;3845;R;11/out/24;11/10/2024 00:00;07/11/2024 01:00;;45576
123;EXTRUSAO;118;TERMOGRAFIA;3846;R;12/out/24;12/10/2024 00:00;07/11/2024 01:00;;45577
124;EXTRUSAO;113;R-106 INSPECAO MECANICA - EXT MONO;3511;P;08/out/24;08/10/2024 01:00;;;45573,0416
125;EXTRUSAO;113;INSPECAO ELETRICA;3512;R;08/out/24;08/10/2024 01:00;14/10/2024 08:30;;45573
126;EXTRUSAO;113;R-112 INSPECAO PAINEL ELETRICO - EXTRUSORA;3522;P;08/out/24;08/10/2024 01:00;;;45573
127;EXTRUSAO;113;TERMOGRAFIA;4279;R;26/nov/24;26/11/2024 08:30;29/11/2024 00:01;;45622,3541
128;EXTRUSAO;113;R-109 INSPECAO ELETRICA - MONO;4482;P;13/dez/24;13/12/2024 00:00;;;45639
129;EXTRUSAO;118;CALIBRACAO GRAVIMETRICO;3866;R;28/out/24;28/10/2024 10:00;28/10/2024 11:50;;45593,3333
130;MANUTENCAO PREDIAL;9030;TROCA DE REFILE DE BEBEDOURO;3888;R;30/out/24;30/10/2024 10:00;08/10/2024 08:00;;45595,3333
131;EXTRUSAO;113;CALIBRACAO GRAVIMETRICO;3889;R;28/out/24;28/10/2024 09:00;28/10/2024 17:00;;45593,3333
132;EXTRUSAO;113;R-136 CALIBRACAO - GRAVIMETRICOS;4674;R;17/dez/24;17/12/2024 17:30;26/12/2024 00:00;;45643,7291
